seed 7 pop 24 band 200-350
warm-started 24 genomes from artifacts/pretrain-warm.antgenome
gen stage=1 gen=1 best=114.937 mean=74.172 competent=0
gen stage=1 gen=2 best=109.917 mean=78.333 competent=0
gen stage=1 gen=3 best=118.170 mean=81.331 competent=0
gen stage=1 gen=4 best=126.475 mean=78.942 competent=0
gen stage=1 gen=5 best=122.026 mean=85.725 competent=0
gen stage=1 gen=6 best=110.251 mean=71.921 competent=0
gen stage=1 gen=7 best=112.787 mean=84.113 competent=0
gen stage=1 gen=8 best=117.295 mean=88.258 competent=0
gen stage=1 gen=9 best=123.217 mean=84.700 competent=0
gen stage=1 gen=10 best=116.758 mean=81.372 competent=0
gen stage=1 gen=11 best=113.329 mean=83.562 competent=0
gen stage=1 gen=12 best=118.507 mean=94.617 competent=0
gen stage=1 gen=13 best=126.261 mean=101.325 competent=0
gen stage=1 gen=14 best=108.296 mean=84.695 competent=0
gen stage=1 gen=15 best=119.553 mean=79.684 competent=0
gen stage=2 gen=1 best=172.330 mean=112.696 competent=13
gen stage=2 gen=2 best=173.296 mean=97.256 competent=13
gen stage=2 gen=3 best=190.386 mean=128.271 competent=17
gen stage=2 gen=4 best=216.342 mean=128.529 competent=17
gen stage=2 gen=5 best=187.968 mean=115.107 competent=16
gen stage=2 gen=6 best=215.539 mean=121.702 competent=14
gen stage=2 gen=7 best=206.894 mean=125.670 competent=17
gen stage=2 gen=8 best=190.371 mean=124.879 competent=13
gen stage=2 gen=9 best=187.340 mean=145.811 competent=21
gen stage=2 gen=10 best=180.968 mean=108.056 competent=13
gen stage=2 gen=11 best=203.417 mean=141.044 competent=20
gen stage=2 gen=12 best=199.380 mean=150.621 competent=20
gen stage=2 gen=13 best=193.937 mean=121.565 competent=17
gen stage=2 gen=14 best=185.223 mean=144.448 competent=22
gen stage=2 gen=15 best=217.791 mean=139.741 competent=19
gen stage=3 gen=1 best=271.353 mean=202.185 competent=23
gen stage=3 gen=2 best=260.146 mean=184.960 competent=21
gen stage=3 gen=3 best=273.176 mean=217.652 competent=24
gen stage=3 gen=4 best=271.823 mean=205.992 competent=24
gen stage=3 gen=5 best=251.719 mean=165.944 competent=23
gen stage=3 gen=6 best=245.934 mean=176.487 competent=23
gen stage=3 gen=7 best=322.721 mean=218.046 competent=24
gen stage=3 gen=8 best=282.981 mean=185.442 competent=22
gen stage=3 gen=9 best=234.555 mean=177.757 competent=22
gen stage=3 gen=10 best=297.671 mean=189.111 competent=20
gen stage=3 gen=11 best=270.888 mean=171.191 competent=21
gen stage=3 gen=12 best=302.496 mean=202.702 competent=23
gen stage=3 gen=13 best=256.584 mean=185.445 competent=23
gen stage=3 gen=14 best=276.909 mean=175.118 competent=22
gen stage=3 gen=15 best=245.434 mean=159.684 competent=20
trained 24 genomes, stages 3
exported 24 genomes to artifacts/pretrain-warm2.antgenome
